,date,beta,gamma,r0,dif,r0_p,dif_p
0,2020-01-22,1.0,1.0,1.0,0.0,1.0,0.0
1,2020-01-23,1.0,1.0,1.0,0.0,1.0,0.0
2,2020-01-24,2.0,2.0,1.0,0.0,1.0,0.0
3,2020-01-25,2.0,2.0,1.0,0.0,1.0,0.0
4,2020-01-26,3.0,3.0,1.0,0.0,1.0,0.0
5,2020-01-27,4.0,4.0,1.0,0.0,1.0,0.0
6,2020-01-28,0.2800000000000001,0.01,28.000000000000007,0.2700000000000001,28.000000000000007,0.2700000000000001
7,2020-01-29,0.9900000000000008,0.6900000000000004,1.4347826086956526,0.3000000000000004,41.49999999999997,0.40500000000000025
8,2020-01-30,0.9900000000000008,0.8300000000000005,1.1927710843373496,0.16000000000000025,9.752173913043478,0.5310000000000015
9,2020-01-31,0.9900000000000008,0.8200000000000005,1.207317073170732,0.17000000000000026,-9.380408590885423,0.22199999999999998
10,2020-02-01,0.22000000000000008,0.01,22.000000000000007,0.21000000000000008,-15.005106108420904,0.021000000000003016
11,2020-02-02,0.22000000000000008,0.01,22.000000000000007,0.21000000000000008,24.124217122999028,0.041000000000002146
12,2020-02-03,0.9900000000000008,0.7200000000000004,1.3750000000000002,0.27000000000000035,51.97097573752029,0.2590000000000017
13,2020-02-04,0.9900000000000008,0.7000000000000004,1.4142857142857146,0.29000000000000037,-0.5023302648557717,0.38400000000000145
14,2020-02-05,0.9900000000000008,0.6800000000000004,1.4558823529411768,0.3100000000000004,-19.231881008354208,0.3350000000000008
15,2020-02-06,0.9900000000000008,0.8800000000000006,1.1250000000000002,0.11000000000000021,-17.1382322197164,0.34000000000000075
16,2020-02-07,0.12999999999999998,0.01,12.999999999999998,0.11999999999999998,5.133550420168547,0.022000000000002018
17,2020-02-08,0.9900000000000008,0.9000000000000006,1.1,0.09000000000000019,28.9940756302517,-0.06099999999999772
18,2020-02-09,0.9900000000000008,0.8900000000000006,1.1123595505617978,0.1000000000000002,4.489684873949706,-0.011000000000001814
19,2020-02-10,0.9900000000000008,0.9000000000000006,1.1,0.09000000000000019,-3.6060825228969975,0.11499999999999888
20,2020-02-11,0.9900000000000008,0.9400000000000006,1.0531914893617023,0.050000000000000155,-5.86585095836088,0.1789999999999985
21,2020-02-12,0.38000000000000017,0.37000000000000016,1.027027027027027,0.010000000000000009,-2.532656586182675,0.02699999999999947
22,2020-02-13,0.01,0.02,0.5,-0.01,6.919082257012576,-0.03299999999999459
23,2020-02-14,0.9800000000000006,0.9900000000000008,0.9898989898989898,-0.01000000000000012,0.19312364719490915,-0.0709999999999944
24,2020-02-15,0.01,0.02,0.5,-0.01,0.8183025557015409,-0.029000000000000137
25,2020-02-16,0.9500000000000006,0.9900000000000008,0.9595959595959594,-0.04000000000000015,0.46479603394497304,0.00999999999999579
26,2020-02-17,0.08,0.14,0.5714285714285714,-0.06000000000000001,1.1119219800070645,-0.03099999999999814
27,2020-02-18,0.9800000000000006,0.9900000000000008,0.9898989898989898,-0.01000000000000012,0.7145957645957628,-0.08400000000000185
28,2020-02-19,0.01,0.03,0.33333333333333337,-0.019999999999999997,0.9254689754690089,-0.012999999999994571
29,2020-02-20,0.9700000000000006,0.9900000000000008,0.9797979797979797,-0.02000000000000013,0.33759018759008264,0.013000000000011891
30,2020-02-21,0.2400000000000001,0.01,24.00000000000001,0.2300000000000001,0.7930014430014762,0.010999999999997012
31,2020-02-22,0.4300000000000002,0.01,43.00000000000002,0.4200000000000002,35.87503607503095,0.35099999999996356
32,2020-02-23,0.6100000000000003,0.01,61.00000000000003,0.6000000000000003,71.09682539683581,0.6920000000000925
33,2020-02-24,0.9900000000000008,0.2900000000000001,3.4137931034482776,0.7000000000000006,94.60707070706758,0.9469999999999992
34,2020-02-25,0.9900000000000008,0.22000000000000008,4.500000000000002,0.7700000000000007,-8.306583072110698,0.9199999999999784
35,2020-02-26,0.9900000000000008,0.4900000000000002,2.020408163265307,0.5000000000000006,-49.13596307907392,0.7939999999999614
36,2020-02-27,0.9900000000000008,0.6000000000000003,1.6500000000000004,0.39000000000000046,-34.4849049964746,0.33000000000008356
37,2020-02-28,0.2900000000000001,0.01,29.000000000000007,0.2800000000000001,2.432846586907999,0.03700000000005588
38,2020-02-29,0.2800000000000001,0.01,28.000000000000007,0.2700000000000001,69.962698803678,-0.03499999999995396
39,2020-03-01,0.9900000000000008,0.7200000000000004,1.3750000000000002,0.27000000000000035,49.184651653766196,0.15199999999994596
40,2020-03-02,0.9900000000000008,0.7100000000000004,1.394366197183099,0.28000000000000036,-0.48362244898544304,0.375
41,2020-03-03,0.9900000000000008,0.7300000000000004,1.3561643835616441,0.26000000000000034,-25.58074662258423,0.3579999999999828
42,2020-03-04,0.9900000000000008,0.7600000000000005,1.3026315789473686,0.23000000000000032,-22.77244356550591,0.31500000000000483
43,2020-03-05,0.9900000000000008,0.8000000000000005,1.2375000000000003,0.19000000000000028,7.078050204623196,0.20799999999997976
44,2020-03-06,0.9900000000000008,0.8500000000000005,1.1647058823529413,0.14000000000000024,14.45545400195715,0.13599999999998502
45,2020-03-07,0.9900000000000008,0.8700000000000006,1.1379310344827587,0.12000000000000022,1.0527477026585252,0.06999999999997542
46,2020-03-08,0.9900000000000008,0.8900000000000006,1.1123595505617978,0.1000000000000002,1.0700631525846593,0.07000000000000073
47,2020-03-09,0.9900000000000008,0.9200000000000006,1.0760869565217392,0.07000000000000017,1.0888290013429351,0.07699999999999996
48,2020-03-10,0.07,0.01,7.000000000000001,0.060000000000000005,1.073908146219983,0.06099999999999817
