,size,error
0,3,0.09424696274181678
1,4,0.09978382031742027
2,5,0.11064932235776678
3,6,0.1273670385365837
4,7,0.15867053601528022
5,8,0.17082406832732622
6,9,0.1801090822625534
7,10,0.18306544135614364
8,11,0.1848299569533348
