,date,beta,gamma,r0,dif,r0_p,dif_p
0,2020-02-26,0.02,0.01,2.0,0.01,2.0,0.01
1,2020-02-27,0.02,0.01,2.0,0.01,2.0,0.01
2,2020-02-28,0.02,0.01,2.0,0.01,2.0,0.01
3,2020-02-29,0.02,0.01,2.0,0.01,2.0,0.01
4,2020-03-01,0.02,0.01,2.0,0.01,2.0,0.01
5,2020-03-02,0.9900000000000008,0.8100000000000005,1.2222222222222223,0.18000000000000027,1.2222222222222223,0.18000000000000027
6,2020-03-03,0.9900000000000008,0.7900000000000005,1.2531645569620256,0.2000000000000003,0.6000000000000008,0.3159999999999997
7,2020-03-04,0.9900000000000008,0.7800000000000005,1.2692307692307694,0.2100000000000003,0.655696202531646,0.35200000000000053
8,2020-03-05,0.12999999999999998,0.01,12.999999999999998,0.11999999999999998,1.3068376068376004,0.23400000000000104
9,2020-03-06,0.9900000000000008,0.8100000000000005,1.2222222222222223,0.18000000000000027,22.864135021096892,-0.045999999999999375
10,2020-03-07,0.4400000000000002,0.01,44.00000000000002,0.4300000000000002,1.1660499837715292,0.1440000000000003
11,2020-03-08,0.9900000000000008,0.4900000000000002,2.020408163265307,0.5000000000000006,68.79036027263805,0.6719999999999957
12,2020-03-09,0.9900000000000008,0.5800000000000003,1.7068965517241383,0.4100000000000005,-4.3795046223618215,0.809999999999997
13,2020-03-10,0.9900000000000008,0.5100000000000002,1.941176470588236,0.48000000000000054,-25.060919540230486,0.3579999999999979
14,2020-03-11,0.9900000000000008,0.7700000000000005,1.285714285714286,0.2200000000000003,-23.78887555021953,0.3140000000000027
15,2020-03-12,0.9900000000000008,0.7100000000000004,1.394366197183099,0.28000000000000036,26.13652357494675,0.025999999999997137
16,2020-03-13,0.2400000000000001,0.01,24.00000000000001,0.2300000000000001,1.1450249453836938,0.1740000000000006
17,2020-03-14,0.4200000000000002,0.01,42.00000000000002,0.4100000000000002,42.03086062010948,0.1959999999999873
18,2020-03-15,0.9900000000000008,0.5700000000000003,1.7368421052631584,0.4200000000000005,74.87778435317682,0.6699999999999751
19,2020-03-16,0.9900000000000008,0.5900000000000003,1.6779661016949157,0.40000000000000047,-16.13887535741287,0.5360000000000036
20,2020-03-17,0.9900000000000008,0.6300000000000003,1.5714285714285718,0.36000000000000043,-44.14304129863922,0.4219999999999966
21,2020-03-18,0.16,0.01,16.0,0.15,-9.360902255644248,0.20400000000001128
22,2020-03-19,0.2300000000000001,0.01,23.000000000000007,0.22000000000000008,51.61552185548453,-0.05599999999994765
23,2020-03-20,0.3300000000000001,0.01,33.000000000000014,0.3200000000000001,40.178182744998026,0.119999999999997
24,2020-03-21,0.9900000000000008,0.6400000000000003,1.5468750000000004,0.3500000000000004,46.66392251815978,0.4800000000000111
25,2020-03-22,0.3000000000000001,0.01,30.00000000000001,0.2900000000000001,-24.27276785713957,0.5799999999999805
26,2020-03-23,0.3600000000000001,0.01,36.00000000000001,0.3500000000000001,23.400000000001185,0.22399999999997
27,2020-03-24,0.2900000000000001,0.01,29.000000000000007,0.2800000000000001,57.56249999999045,0.28999999999999293
28,2020-03-25,0.9900000000000008,0.7200000000000004,1.3750000000000002,0.27000000000000035,47.071874999999636,0.2539999999999951
29,2020-03-26,0.9900000000000008,0.7500000000000004,1.3200000000000003,0.24000000000000032,-43.39687500000218,0.24200000000000654
30,2020-03-27,0.9900000000000008,0.8200000000000005,1.207317073170732,0.17000000000000026,-24.423999999999523,0.17199999999998816
31,2020-03-28,0.15,0.01,15.0,0.13999999999999999,5.273170731708433,0.13200000000000228
32,2020-03-29,0.9900000000000008,0.8500000000000005,1.1647058823529413,0.14000000000000024,42.518999999994776,0.06600000000000206
33,2020-03-30,0.14,0.01,14.000000000000002,0.13,1.1636169297008792,0.13399999999999146
34,2020-03-31,0.9900000000000008,0.8800000000000006,1.1250000000000002,0.11000000000000021,13.2676097560973,0.16400000000000148
35,2020-04-01,0.11999999999999998,0.01,11.999999999999998,0.10999999999999999,-7.182374461980089,0.10399999999999987
36,2020-04-02,0.12999999999999998,0.01,12.999999999999998,0.11999999999999998,18.701176470587825,0.0940000000000013
37,2020-04-03,0.16,0.01,16.0,0.15,14.798823529412864,0.13400000000000656
38,2020-04-04,0.9900000000000008,0.8100000000000005,1.2222222222222223,0.18000000000000027,26.925000000001774,0.19399999999999729
39,2020-04-05,0.16,0.01,16.0,0.15,-14.72499999999036,0.22799999999999176
40,2020-04-06,0.9900000000000008,0.8600000000000005,1.1511627906976747,0.13000000000000023,15.399999999999864,0.14400000000000013
41,2020-04-07,0.9900000000000008,0.8800000000000006,1.1250000000000002,0.11000000000000021,-0.7056847545225082,0.07199999999999562
42,2020-04-08,0.9900000000000008,0.8800000000000006,1.1250000000000002,0.11000000000000021,-1.9083333333335872,0.059999999999991616
43,2020-04-09,0.11,0.01,11.0,0.1,-7.762596899223354,0.11199999999999921
44,2020-04-10,0.7600000000000005,0.6400000000000003,1.1875,0.1200000000000001,27.80930232557148,0.10400000000000276
45,2020-04-11,0.12999999999999998,0.01,12.999999999999998,0.11999999999999998,1.253197674421699,0.13999999999999524
46,2020-04-12,0.11,0.01,11.0,0.1,14.599999999999625,0.13599999999999968
47,2020-04-13,0.09,0.01,9.0,0.08,12.924999999998477,0.09000000000001585
48,2020-04-14,0.9900000000000008,0.9200000000000006,1.0760869565217392,0.07000000000000017,11.687499999999062,0.03599999999999959
49,2020-04-15,0.05,0.01,5.0,0.04,-13.95054347824771,0.045999999999994934
