,date,beta,gamma,r0,dif,r0_p,dif_p
0,2020-01-24,2.0,2.0,1.0,0.0,1.0,0.0
1,2020-01-25,3.0,3.0,1.0,0.0,1.0,0.0
2,2020-01-26,0.02,0.01,2.0,0.01,2.0,0.01
3,2020-01-27,0.02,0.01,2.0,0.01,2.0,0.01
4,2020-01-28,0.9900000000000008,0.8300000000000005,1.1927710843373496,0.16000000000000025,1.1927710843373496,0.16000000000000025
5,2020-01-29,0.14,0.07,2.0,0.07,-0.5662650602409651,0.3400000000000004
6,2020-01-30,0.20000000000000004,0.04,5.000000000000001,0.16000000000000003,2.605421686746981,0.032500000000000306
7,2020-01-31,0.9900000000000008,0.7900000000000005,1.2531645569620256,0.2000000000000003,9.759036144578321,0.11500000000000021
8,2020-02-01,0.9900000000000008,0.9000000000000006,1.1,0.09000000000000019,-2.535801433582442,0.3625000000000016
9,2020-02-02,0.05,0.01,5.0,0.04,-3.2148734177215026,-0.09499999999999686
10,2020-02-03,0.9900000000000008,0.9200000000000006,1.0760869565217392,0.07000000000000017,12.608544303797316,-0.10749999999999937
11,2020-02-04,0.9900000000000008,0.9100000000000006,1.087912087912088,0.08000000000000018,-1.7639309301046069,0.16500000000000004
12,2020-02-05,0.01,0.02,0.5,-0.01,-3.784263019588991,0.14499999999999735
13,2020-02-06,0.01,0.02,0.5,-0.01,2.7139572384137267,-0.14000000000000634
14,2020-02-07,0.01,0.02,0.5,-0.01,0.19717510750118628,-0.06250000000000133
15,2020-02-08,0.01,0.02,0.5,-0.01,0.9409340659341083,0.0575000000000041
16,2020-02-09,0.16,0.01,16.0,0.15,0.5,-0.01
17,2020-02-10,0.9900000000000008,0.7700000000000005,1.285714285714286,0.2200000000000003,35.37499999999818,0.3499999999999792
18,2020-02-11,0.9900000000000008,0.7500000000000004,1.3200000000000003,0.24000000000000032,-9.357142857139706,0.3875000000000033
19,2020-02-12,0.01,0.02,0.5,-0.01,-17.61928571428598,0.18000000000001037
20,2020-02-13,0.9500000000000006,0.9900000000000008,0.9595959595959594,-0.04000000000000015,10.527857142858466,-0.3649999999999949
21,2020-02-14,0.9200000000000006,0.9900000000000008,0.9292929292929292,-0.07000000000000017,1.0983766233768009,-0.21749999999999314
22,2020-02-15,0.01,0.1,0.09999999999999999,-0.09000000000000001,1.7362121212121906,0.06500000000003325
23,2020-02-16,0.9400000000000006,0.9900000000000008,0.9494949494949494,-0.050000000000000155,-1.296464646464699,-0.10749999999999904
24,2020-02-17,0.01,0.1,0.09999999999999999,-0.09000000000000001,1.6194444444445395,0.01249999999999929
25,2020-02-18,0.14,0.2500000000000001,0.5599999999999998,-0.1100000000000001,0.08484848484860219,-0.10499999999999154
26,2020-02-19,0.01,0.02,0.5,-0.01,0.07313131313136267,-0.18500000000000583
27,2020-02-20,0.01,0.02,0.5,-0.01,1.2921212121211312,0.1349999999999909
28,2020-02-21,0.01,0.02,0.5,-0.01,0.12499999999990052,0.05499999999998462
29,2020-02-22,0.01,0.02,0.5,-0.01,0.5449999999999946,-0.08500000000001862
30,2020-02-23,0.01,0.02,0.5,-0.01,0.5,-0.01
31,2020-02-24,0.01,0.02,0.5,-0.01,0.5,-0.01
32,2020-02-25,0.01,0.02,0.5,-0.01,0.5,-0.01
33,2020-02-26,0.8200000000000005,0.9900000000000008,0.8282828282828282,-0.17000000000000026,0.5,-0.01
34,2020-02-27,0.01,0.2300000000000001,0.0434782608695652,-0.22000000000000008,1.2386363636362034,-0.3699999999999193
35,2020-02-28,0.3500000000000001,0.01,35.00000000000001,0.3400000000000001,-0.7733860342552248,-0.36250000000002736
36,2020-02-29,0.9900000000000008,0.01,99.00000000000007,0.9800000000000008,78.05703776897644,1.134999999999991
37,2020-03-01,0.9900000000000008,0.03,33.00000000000003,0.9600000000000007,197.06686429513138,2.0974999999998545
38,2020-03-02,0.9900000000000008,0.4600000000000002,2.152173913043479,0.5300000000000006,-43.717391304257035,0.8350000000002922
39,2020-03-03,0.9900000000000008,0.5200000000000002,1.9038461538461544,0.47000000000000053,-117.40760869568476,-0.49750000000034333
40,2020-03-04,0.9900000000000008,0.7100000000000004,1.394366197183099,0.28000000000000036,35.66952341135402,0.19499999999985373
41,2020-03-05,0.9900000000000008,0.7100000000000004,1.394366197183099,0.28000000000000036,23.769221936952817,0.33500000000012164
42,2020-03-06,0.2400000000000001,0.01,24.00000000000001,0.2300000000000001,1.3258720382498552,0.23000000000006438
43,2020-03-07,0.4000000000000002,0.01,40.00000000000002,0.3900000000000002,52.63915222101059,0.3100000000000449
44,2020-03-08,0.4200000000000002,0.01,42.00000000000002,0.4100000000000002,71.30281690140691,0.5649999999999835
45,2020-03-09,0.9900000000000008,0.6000000000000003,1.6500000000000004,0.39000000000000046,35.545774647880535,0.5524999999999842
46,2020-03-10,0.9900000000000008,0.7600000000000005,1.3026315789473686,0.23000000000000032,-59.78749999997308,0.25499999999996703
47,2020-03-11,0.20000000000000004,0.01,20.000000000000004,0.19000000000000003,-20.806578947390733,0.005000000000009663
48,2020-03-12,0.2400000000000001,0.01,24.00000000000001,0.2300000000000001,73.46052631580096,0.07500000000000906
49,2020-03-13,0.9900000000000008,0.7500000000000004,1.3200000000000003,0.24000000000000032,38.60921052631352,0.3799999999998107
50,2020-03-14,0.2300000000000001,0.01,23.000000000000007,0.22000000000000008,-39.053026315825264,0.3025000000000624
51,2020-03-15,0.2300000000000001,0.01,23.000000000000007,0.22000000000000008,35.76000000003296,0.16999999999990223
