,date,I,I_p,C_p
116,2020-05-17,90255,88782.76995621099,179693.0
117,2020-05-18,89966,87703.93343351623,180051.0
118,2020-05-19,90230,87253.41411727876,180933.0
119,2020-05-20,90093,86957.67077635662,181700.0
120,2020-05-21,89757,86957.67077635662,181951.0
121,2020-05-22,89735,92265.06777794631,182354.0
122,2020-05-23,89694,91972.98712243167,182694.0
123,2020-05-24,89604,92230.92306951314,182709.0
124,2020-05-25,89290,92088.74940470641,183067.0
125,2020-05-26,88317,91749.84633951508,182847.0
126,2020-05-27,87737,91725.50552566336,183038.0
127,2020-05-28,90390,85206.6441135365,186364.0
128,2020-05-29,90285,85121.17366194591,186923.0
129,2020-05-30,91592,91274.44708182024,188752.0
130,2020-05-31,91731,91529.30790468237,189009.0
131,2020-06-01,91954,94287.57772204476,189348.0
132,2020-06-02,90709,92359.13707741207,188582.0
133,2020-06-03,90337,93030.1756394562,188934.0
134,2020-06-04,90539,93550.90857005153,189701.0
135,2020-06-05,90576,93688.92458981412,190312.0
136,2020-06-06,90822,93910.69905140424,190891.0
137,2020-06-07,91115,92534.69619563305,191234.0
138,2020-06-08,91051,86854.40426025794,191445.0
139,2020-06-09,90924,92357.14694238453,191849.0
140,2020-06-10,91120,92390.469186016,192394.0
141,2020-06-11,91201,92633.82833353156,192819.0
142,2020-06-12,91474,92925.83758504088,193546.0
143,2020-06-13,91740,92860.49043445199,194072.0
144,2020-06-14,92087,92537.26379364004,194479.0
145,2020-06-15,92024,92730.54717622657,194631.0
146,2020-06-16,91966,92809.1694626804,194975.0
147,2020-06-17,92064,93078.50926875924,195433.0
148,2020-06-18,92283,93342.12127662318,195900.0
149,2020-06-19,92850,93687.71052356319,196711.0
150,2020-06-20,93280,93623.62453839596,197352.0
151,2020-06-21,93497,93262.71648874656,197636.0
152,2020-06-22,93607,93358.1401093248,198009.0
153,2020-06-23,93808,93574.94616394881,198526.0
154,2020-06-24,93622,94138.47362446338,198607.0
155,2020-06-25,93377,94565.57345516373,198607.0
156,2020-06-26,94641,94781.33719157286,200195.0
157,2020-06-27,94641,94889.2353937516,200195.0
158,2020-06-28,93921,95712.99799020383,199476.0
159,2020-06-29,95582,95525.99625344759,201522.0
160,2020-06-30,95818,95280.45471062144,202063.0
161,2020-07-01,96443,96536.66514645847,202981.0
162,2020-07-02,96835,96536.66514645847,203640.0
163,2020-07-03,,96835.0,204279.23
164,2020-07-04,,97790.10488887341,204899.28310000003
165,2020-07-05,,98753.94361774313,205500.73460700005
166,2020-07-06,,99726.58203963209,206084.14256879006
167,2020-07-07,,100708.08621138216,206650.0482917264
168,2020-07-08,,101698.52238735277,207198.97684297463
169,2020-07-09,,102697.95701292914,207731.43753768544
170,2020-07-10,,103706.45671783721,208247.92441155494
171,2020-07-11,,104724.08830926186,208748.91667920834
172,2020-07-12,,105750.91876476549,209234.87917883214
173,2020-07-13,,106787.01522500344,209706.26280346722
174,2020-07-14,,107832.4449862334,210163.50491936324
175,2020-07-15,,108887.27549261518,210607.02977178237
176,2020-07-16,,109951.57432829792,211037.24887862892
177,2020-07-17,,111025.40920929125,211454.56141227006
178,2020-07-18,,112108.84797511714,211859.35456990197
179,2020-07-19,,113201.95858023931,212252.00393280492
180,2020-07-20,,114304.80908526664,212632.87381482078
181,2020-07-21,,115417.46764792736,213002.31760037618
182,2020-07-22,,116540.00251381086,213360.6780723649
183,2020-07-23,,117672.48200687341,213708.287730194
184,2020-07-24,,118814.97451970485,214045.4690982882
185,2020-07-25,,119967.54850355255,214372.53502533957
186,2020-07-26,,121130.27245809954,214689.78897457942
187,2020-07-27,,122303.2149209933,214997.52530534207
188,2020-07-28,,123486.4444571219,215296.02954618185
189,2020-07-29,,124680.02964763419,215585.57865979642
190,2020-07-30,,125884.03907870053,215866.44130000257
191,2020-07-31,,127098.5413300109,216138.87806100253
192,2020-08-01,,128323.60496300696,216403.14171917248
193,2020-08-02,,129559.29850884463,216659.47746759732
194,2020-08-03,,130805.69045608403,216908.12314356942
195,2020-08-04,,132062.84923810343,217149.30944926236
196,2020-08-05,,133330.8432202338,217383.2601657845
197,2020-08-06,,134609.74068661084,217610.192360811
198,2020-08-07,,135899.60982674104,217830.31658998667
199,2020-08-08,,137200.51872177876,218043.83709228708
200,2020-08-09,,138512.53533051096,218250.9519795185
201,2020-08-10,,139835.72747504638,218451.85342013295
202,2020-08-11,,141170.1628262061,218646.72781752897
203,2020-08-12,,142515.90888861232,218835.75598300312
204,2020-08-13,,143873.03298547215,219019.11330351306
205,2020-08-14,,145241.60224305364,219196.9699044077
206,2020-08-15,,146621.68357485064,219369.49080727552
207,2020-08-16,,148013.34366543384,219536.8360830573
208,2020-08-17,,149416.64895398493,219699.16100056565
209,2020-08-18,,150831.665617511,219856.61617054875
210,2020-08-19,,152258.45955373626,220009.34768543235
211,2020-08-20,,153697.09636366865,220157.49725486946
212,2020-08-21,,155147.64133383808,220301.20233722345
213,2020-08-22,,156610.15941820416,220440.59626710683
214,2020-08-23,,158084.71521973048,220575.8083790937
215,2020-08-24,,159571.37297162323,220706.96412772097
216,2020-08-25,,161070.1965182313,220834.1852038894
217,2020-08-26,,162581.24929560593,220957.5896477728
218,2020-08-27,,164104.59431171734,221077.29195833972
219,2020-08-28,,165640.29412632625,221193.4031995896
220,2020-08-29,,167188.410830508,221306.031103602
221,2020-08-30,,168749.00602582755,221415.28017049402
222,2020-08-31,,170322.1408031632,221521.25176537927
223,2020-09-01,,171907.8757211772,221624.04421241797
224,2020-09-02,,173506.2707844316,221723.7528860455
225,2020-09-03,,175117.3854211478,221820.47029946418
226,2020-09-04,,176741.27846060807,221914.2861904803
227,2020-09-05,,178378.00811019787,222005.28760476597
228,2020-09-06,,180027.6319320876,222093.55897662306
229,2020-09-07,,181690.20681955264,222179.18220732443
230,2020-09-08,,183365.78897293084,222262.23674110475
231,2020-09-09,,185054.43387521635,222342.79963887166
232,2020-09-10,,186756.19626728917,222420.94564970557
233,2020-09-11,,188471.13012278,222496.74728021445
234,2020-09-12,,190199.28862256973,222570.27486180805
235,2020-09-13,,191940.72412892332,222641.59661595384
236,2020-09-14,,193695.4881592583,222710.77871747524
237,2020-09-15,,195463.63135954752,222777.885355951
238,2020-09-16,,197245.20347735667,222842.9787952725
239,2020-09-17,,199040.2533345168,222906.11943141435
240,2020-09-18,,200848.82879943275,222967.36584847193
241,2020-09-19,,202670.97675902786,223026.7748730178
242,2020-09-20,,204506.7430903263,223084.40162682728
243,2020-09-21,,206356.172631674,223140.29957802247
244,2020-09-22,,208219.30915359993,223194.52059068182
245,2020-09-23,,210096.19532931858,223247.11497296137
246,2020-09-24,,211986.87270487647,223298.13152377252
247,2020-09-25,,213891.381668944,223347.61757805935
248,2020-09-26,,215809.76142225516,223395.61905071756
249,2020-09-27,,217742.04994669775,223442.18047919605
250,2020-09-28,,219688.28397405666,223487.34506482017
251,2020-09-29,,221648.4989544134,223531.15471287558
252,2020-09-30,,223622.7290242051,223573.65007148933
253,2020-10-01,,225611.0069739464,223614.87056934467
254,2020-10-02,,227613.3642156183,223654.85445226435
255,2020-10-03,,229629.8307497276,223693.63881869643
256,2020-10-04,,231660.43513204192,223731.25965413556
257,2020-10-05,,233705.20444000422,223767.75186451152
258,2020-10-06,,235764.1642388323,223803.1493085762
259,2020-10-07,,237837.3385473083,223837.4848293189
260,2020-10-08,,239924.74980326364,223870.79028443937
261,2020-10-09,,242026.41882876557,223903.0965759062
262,2020-10-10,,244142.36479501094,223934.43367862905
263,2020-10-11,,246272.60518693432,223964.8306682702
264,2020-10-12,,248417.15576753672,223994.31574822214
265,2020-10-13,,250576.03054194245,224022.91627577553
266,2020-10-14,,252749.24172119136,224050.6587875023
267,2020-10-15,,254936.7996857743,224077.56902387727
268,2020-10-16,,257138.71294892032,224103.67195316099
269,2020-10-17,,259354.98811964344,224128.9917945662
270,2020-10-18,,261585.62986555885,224153.55204072924
271,2020-10-19,,263830.64087547676,224177.3754795074
272,2020-10-20,,266090.02182178455,224200.48421512224
273,2020-10-21,,268363.77132262633,224222.89968866864
274,2020-10-22,,270651.88590389094,224244.64269800865
275,2020-10-23,,272954.359961019,224265.73341706846
276,2020-10-24,,275271.1857206402,224286.19141455647
277,2020-10-25,,277602.353202052,224306.03567211982
278,2020-10-26,,279947.8501785527,224325.28460195626
279,2020-10-27,,282307.6621386401,224343.9560638976
280,2020-10-28,,284681.7722470897,224362.0673819807
281,2020-10-29,,287070.1613059244,224379.63536052132
