,size,error
0,3,0.18541999418725855
1,4,0.15734829432592956
2,5,0.15111471886249356
3,6,0.1682226045307227
4,7,0.17985120236586757
5,8,0.17473750517513495
6,9,0.17628831017585828
7,10,0.17918461249637002
8,11,0.17982478383160388
