,size,error
0,3,0.11374266793112497
1,4,0.08305160213784075
2,5,0.08804685226654736
3,6,0.0956392866957857
4,7,0.11183091269556236
5,8,0.12088465683933192
6,9,0.13292629228031255
7,10,0.13972575027752981
8,11,0.15190930261076543
